CITY,B_POP,W_POP,TOTAL_POP,BW_DI,STATE
Redondo Beach city,1531,44819,63261,24.5,CA
Palmdale city,16447,47831,116670,24.3,CA
Morgan Hill city*,537,20583,33556,23.5,CA
Temple City city*,289,12589,33377,23.3,CA
Thousand Oaks city,1162,90862,117005,23.2,CA
Belmont city*,389,17696,25123,23.1,CA
Rohnert Park city*,799,31266,42236,22.7,CA
Temecula city,1874,40007,57716,22.6,CA
Yucaipa city*,353,31626,41207,22.5,CA
Chino Hills city,3573,29247,66787,22.4,CA
Novato city*,893,36336,47630,22.3,CA
San Dimas city,1114,21381,34980,22.2,CA
Perris city,5574,8243,36189,22.2,CA
Moreno Valley city,27536,45881,142381,22.2,CA
Apple Valley town,4141,36710,54239,21.9,CA
Simi Valley city,1348,80908,111351,21.9,CA
Danville town*,375,34618,41715,21.7,CA
Rancho Santa Margarita city*,787,35132,47214,21.4,CA
Citrus Heights city,2334,67809,85071,21.3,CA
La Puente city*,688,2749,41063,20.9,CA
Yuba City city*,976,21693,36758,20.8,CA
Manteca city,1336,31556,49258,20.6,CA
Gilroy city*,615,15767,41464,20.5,CA
Encinitas city*,302,45852,58014,20.4,CA
Union City city,4321,13610,66869,20.3,CA
San Pablo city,5403,4886,30215,19.6,CA
Rocklin city*,317,30315,36330,19.3,CA
Davis city,1354,39714,60308,19.3,CA
Roseville city*,992,63737,79921,19.2,CA
Hesperia city,2388,39057,62582,18.9,CA
Benicia city,1253,19853,26865,18.9,CA
Rancho Palos Verdes city*,803,25979,41145,18.7,CA
Oakley city*,832,16469,25619,18.6,CA
Tracy city,2976,30723,56929,18.2,CA
Newark city,1639,17103,42471,18.0,CA
Beverly Hills city*,584,27717,33784,17.9,CA
La Mirada city*,851,22058,46783,17.5,CA
Suisun City city,4904,10091,26118,17.5,CA
West Hollywood city,1033,29064,35716,17.5,CA
Moorpark city*,435,19611,31415,17.2,CA
Lake Elsinore city,1434,14877,28928,14.7,CA
Hollister city*,387,13246,34413,14.6,CA
San Ramon city*,842,32356,44722,14.5,CA
Diamond Bar city,2624,17471,56287,13.6,CA
Victorville city,7431,30382,64029,13.3,CA
Foster City city*,595,16090,28803,13.3,CA
Cerritos city,3386,11040,51488,9.1,CA
Murrieta city,1401,31811,44282,8.9,CA
